,police,100,,helpline numbers,
,Fire,101,,helpline numbers,
,Ambulance,102,,helpline numbers,
,Traffic Police,103,,helpline numbers,
,Anti Corruption Helpline,1031,,helpline numbers,
,Emergency Relief Centre on National Highways,1033,,helpline numbers,
,State level helpline for Health,104,,helpline numbers,
,Hospital On Wheels,104,,helpline numbers,
,Anti-poison,1066,,helpline numbers,
,Central Relief Commissioner for Natural Calamities,1070,,helpline numbers,
,Air Accident,1071,,helpline numbers,
,Train accident,1072,,helpline numbers,
,Road Accident,1073,,helpline numbers,
,Traffic Help Line,1073,,helpline numbers,
,Control room of District Collector/Magistrate,1077,,helpline numbers,
,Disaster management,108,,helpline numbers,
,Anti terror Helpline/Alert All India,1090,,helpline numbers,
,Women in Distress,1091,,helpline numbers,
,Earth-quake Help line service,1092,,helpline numbers,
,Natural disaster control room,1096,,helpline numbers,
,AIDS helpline,1097,,helpline numbers,
,AIDS help line service,1097,,helpline numbers,
,Child abuse hotline,1098,,helpline numbers,
,Central Accident and Trauma Services,1099,,helpline numbers,
,Catastrophe & Trauma service,1099,,helpline numbers,
,General emergency Department of Telecommunications (DoT),112,,helpline numbers,
,All in one Emergency Number,112,,helpline numbers,
,LIC Of India,1251,,helpline numbers,
,Public Grievance Cell Telecom Circle HQs,12727,,helpline numbers,
,Indian Railway General Enquiry,1320,,helpline numbers,
,For any theft or harassment,1322,,helpline numbers,
,Indian Railway Security Helpline,1322,,helpline numbers,
,Railway Helpline for Arrival/Departure and Reservation services,133,,helpline numbers,
,Railway Enquiry,139,,helpline numbers,
,Indian Airlines,1407,,helpline numbers,
,Air India ( Confirmation / Cancellation Enquiry)(Called Party),1414,,helpline numbers,
,for any queries related to landline telephone,1500,,helpline numbers,
,Railway,1512,,helpline numbers,
,Kisan Call Center,1551,,helpline numbers,
,Military Police Help Line,155200,,helpline numbers,
,Indian Oil Help Line,155233,,helpline numbers,
,Insurance Regulatory and Development Authority (IRDA),155255,,helpline numbers,
,Water Board,155313,,helpline numbers,
,Electricity Complaints,155333,,helpline numbers,
,Trunk booking,1580,,helpline numbers,
,Trunk assistance,1581,,helpline numbers,
,STD complaints,1582,,helpline numbers,
,National Directory Enquiry (NDQ) Service,1583,,helpline numbers,
,International trunk booking,1586,,helpline numbers,
,International trunk enquiry,1587,,helpline numbers,
,International Trunk delay information,1588,,helpline numbers,
,Telex complaints,1589,,helpline numbers,
,Free Phone Enquiry,1600,,helpline numbers,
,India Telephone Card Enquiry,1602,,helpline numbers,
,Billing complaint center,166,,helpline numbers,
,Weather Enquiry,1717,,helpline numbers,
,Maritime Search and Rescue control room of coastal guard,1718,,helpline numbers,
,Drug de-addiction,1800110031,,helpline numbers,
,National Consumer Helpline,1800114000,,helpline numbers,
,MyGov Toll Free Number for MannKiBaat for ideas and suggestions,1800117800,,helpline numbers,
,IRCTC Help Line,1800111139,,helpline numbers,
,Domestic abuse and sexual violence-Women's Helpline,181,,helpline numbers,
,Indian Army Help Line,1904,,helpline numbers,
,LPG emergency helpline number,1906,,helpline numbers,
,Blood bank Information,1910,,helpline numbers,
,Dial a doctor,1911,,helpline numbers,
,Tourist Office (Govt.of India),1913,,helpline numbers,
,Water Supply Complain,1916,,helpline numbers,
,Leased Circuits Fault Booking,1918,,helpline numbers,
,Eye Donation,1919,,helpline numbers,
,Eye bank information service,1919,,helpline numbers,
,Aadhar Card-UIDAI (Unique idenditification authority of india),1947,,helpline numbers,
,Election Commission of India,1950,,helpline numbers,
,Change number announcement (Hindi),1951,,helpline numbers,
,Changed number announcement (English),1952,,helpline numbers,
,Changed number announcement (Regional language),1953,,helpline numbers,
,Changed number announcement (in case of shift),1954,,helpline numbers,
,Sancharnet Internet Help desk service,1957,,helpline numbers,
,Leased Circuit Fault Booking (WTR),1958,,helpline numbers,
,Aaykar Sampark Kendra (ASK),1961,,helpline numbers,
,Directory enquiry service,197,,helpline numbers,
,Telephone Complaint Booking,198,,helpline numbers,
Haryana Roadways:Online bus booking,,,http://hartrans.gov.in/ors/,,
Punjab Roadways: Online bus booking,,,http://www.punbusonline.com/,,
redbus bookings,,,https://www.redbus.in/,,
Chandigarh Transport Undertaking,,,http://chdctu.gov.in/,,
Paytm bus booking,,,https://paytm.com/bus-tickets,,
IRCTC: Online train booking,,,https://www.irctc.co.in/eticketing/loginHome.jsf,,
Patym online train booking,,,https://paytm.com/train-tickets,,
Oxford dictionary,Free English dictionary and thesaurus available online from Oxford Dictionaries. Find definitions,,https://en.oxforddictionaries.com/,,
Dictionary.com,"Dictionary.com is the world's leading online source for English definitions, synonyms, word origins, audio pronunciations, example sentences, slang phrases,",,http://www.dictionary.com/,,
Cambridge Dictionary,The most popular dictionary and thesaurus for learners of English. Meanings and definitions of words with pronunciations and translations.,,http://dictionary.cambridge.org/,,
Dictionary wikipedia,"A dictionary is a collection of words in one or more specific languages, often arranged alphabetically which may include information on definitions, usage",,https://en.wikipedia.org/wiki/Dictionary,,
Oxford English Dictionary,Oxford University Press's dictionary described with ordering information.,,http://www.oed.com/,,
Dictionary Synonyms,"Synonyms for dictionary at Thesaurus.com with free online thesaurus, antonyms, and definitions. Dictionary and Word of the Day.",,http://www.thesaurus.com/browse/dictionary,,
Dictionary by Merriam-Webster,Define dictionary: a reference book that contains words listed in alphabetical order and that gives information about the… — dictionary in a sentence.,,https://www.merriam-webster.com/dictionary/dictionary,,
Dictionary:Vocabulary.com,The world's smartest,,https://www.vocabulary.com/dictionary/,,
Urban Dictionary,A searchable archive of contemporary American slang,,http://www.urbandictionary.com/,,
Dictionary-Mobisystems,This software bundles the American Heritage® Dictionary of the English Language and the Roget's Thesaurus in one complete language app.,,https://www.mobisystems.com/dictionaries/,,
YourDictionary,The easy to understand dictionary with example sentences,,http://www.yourdictionary.com/,,
Dictionary.net,A dictionary database of word and phrase definitions from eight different sources.,,http://www.dictionary.net/,,
LearnGaelic-Dictionary,Whole word only Facal slàn a-mhàin. Search both English & Gaelic,,learngaelic.net/dictionary/,,
The Free Dictionary,Dictionary,,http://www.thefreedictionary.com/,,
Bible Dictionary,Scriptures · Holy Bible · Old Testament · New Testament · Book of Mormon · Doctrine and Covenants · Pearl of Great Price · Study Helps · Formats ,,https://www.lds.org/scriptures/bd?lang=eng,,
Hindi-English Dictionary,Hindi-dictionary: This is an online hypertext Hindi-English and English-Hindi dictionary. Hindi words are displayed in Devanagari ,,http://hindi-english.org/,,
Dictionary-Oracle help center,The Dictionary class is the abstract parent of any class,,https://docs.oracle.com/javase/8/docs/api/java/util/Dictionary.html,,
Spanish Dictionary,We've combined the most accurate English to Spanish dictionary,,http://www.spanishdict.com/,,
Sanskrit Dictionary for Spoken Sanskrit ,Spokensanskrit - An English - Sanskrit dictionary: This is an online hypertext dictionary for Sanskrit - English and English - Sanskrit.,,http://spokensanskrit.de/,,
Scrabble tools-Dictionary,Find useful Scrabble tools on the official Scrabble website by Hasbro: Official Scrabble Dictionary,,https://scrabble.hasbro.com/en-us/tools,,
Macmillan Dictionary,The Free Online English Dictionary from Macmillan Publishers.,,http://www.macmillandictionary.com/,,
Chinese-English Dictionary,Designed for quick word exploration and understanding: thesaurus,,http://www.yellowbridge.com/chinese/character-dictionary.php,,
English-Tamil Dictionary,Tamil dictionary. World's largest English to Tamil dictionary and Tamil to English dictionary translation online.,,http://dictionary.tamilcube.com › Tamil translation,,
English-Russian Dictionary,Reverso offers you the best tool for learning Russian,,http://dictionary.reverso.net/english-russian/,,
Pakistani Dictionary,There must be a dictionary written and printed in the holy corridors of Pakistan. There is no other way to understand the country.,,http://nation.com.pk/columns/18-Mar-2017/the-pakistani-dictionary,,
Flipkart,"Wide Range of Genuine Products, Easy Returns, Cash on Delivery, Browse Now!",,https://www.flipkart.com/,shopping sites,
Amazon,"Amazon.in: Online Shopping India - Buy mobiles, laptops, cameras, books, watches, apparel, shoes and e-Gift Cards. Free Shipping & Cash on Delivery ",,http://www.amazon.in/,shopping sites,
Myntra,"Online Shopping site in India for Fashion. Buy Shoes, Clothing; Accessories for Men & Women @Myntra . Free Shipping. COD. 30-Day Returns.",,https://www.myntra.com/,shopping sites,
Stalkbuylove,"India's best Online shopping site for latest and trendy women fashion clothes, bags, accessories at addictive prices. New fashion designs and women styles",,https://www.stalkbuylove.com,shopping sites,
Limeroad,"Online Shopping of Clothing, Shoes, Bags, Accessories at Limeroad.com. Create Scrapbooks, Stories with one of the best Online Shopping Sites in India",,https://www.limeroad.com/,shopping sites,
Shopclues,"Online shopping site in India to buy wide range of mobiles, electronics, laptops, home appliances, fashion, shoes, home & kitchen products at the lowest prices",,https://www.shopclues.com/,shopping sites,
Jabong,"Online shopping in India for men, women & kids for shoes, clothing, watches, sunglasses atJabong.com. ✓ ​F​ree shipping* ✓ Cash on Delivery ✓ 15 days",,https://www.jabong.com/,shopping sites,
Snapdeal,"Online Shopping Site - Shop Electronics, Mobile, Men & Women Clothing, Shoes online onSnapdeal in India. ☆Free Next Day Delivery ☆Zero Shipping",,https://www.snapdeal.com/,shopping sites,
W3SCHOOLS,Online Tutorials for Web Development,,https://www.w3schools.com/,"HTML,CSS,Javascipt,Jquery,Bootstrap,PHP,SQL",
TutorialsPoint,"Free tutorials and reference manuals with examples for Java Concurrency, Gerrit, Spring AOP, Spring MVC, Apache Solr, Excel Power View, Sencha Touch",,https://www.tutorialspoint.com/,"HTML,CSS,Javascipt,Jquery,Bootstrap,PHP,SQL,C++,C,JAVA,python",
Sanfoundry: Programming & Engineering Questions & Answers,Sanfoundry Internships. Computer Science & Engineering · Electrical & Electronics Engineering · Systems & Control Engineering · Instrumentation Engineering,,https://www.sanfoundry.com/,"MCQs,C,C++,JAVA,python,linux,DBMS,Oracle",
Stack Overflow,"Stack Overflow is the largest online community for programmers to learn, share their knowledge, and advance their careers.",,https://stackoverflow.com/,"HTML,CSS,Javascipt,Jquery,Bootstrap,PHP,SQL,C++,C,JAVA,python,questions,oracle,dbms,linux",
Udacity - Free Online Classes & Nanodegrees,Join Udacity and learn to code from the best online free courses/tutorials and Nanodegree programs.,,https://in.udacity.com/,"Front end development,introduction to back end,full stack,ios development,android development",
HackerRank | Technical Recruiting | Hiring the Best Engineers,Join over 2 million developers in solving code challenges on HackerRank,,https://www.hackerrank.com/,"c,c++,python,data structures,algorithms,database,statistics, java",
thenewboston - Video Tutorials on Programming and More,"Welcome to thenewboston, the world's largest collection of free video tutorials on computer programming, web design, game development, and more.",,https://thenewboston.com/,"java,linux,php,c,c++,html,javascript",
The Bad Tutorials ,"The Bad Tutorials is dedicated to making tutorials, that are fun to watch and easy to follow, on programming and other computer subjects.",,https://www.youtube.com/user/madhurbhatia89,"c++,perl,css,php,c,sql,python,shell,html",
Neso Academy - YouTube,"Neso Academy offers micro-lectures on engineering courses, school syllabus, competitive exams and many more. Neso academy is an educational organization",,https://www.youtube.com/user/nesoacademy,"digital electronics,theory of computation,automated data,reasoning and aptitude,network theory,analog electronics",
KNOWLEDGE GATE - YouTube,This channel is to help computer science students to enhance their knowledge and help them to prepare for university and different competitive exams like GATE.,,https://www.youtube.com/channel/UCA6yfpYhy5sWMjRGOT-OAIQ,"discrete maths,theory of computation,data structure,dbms,operating systems,algorithm",
Gmail,"Gmail is email that's intuitive, efficient, and useful. 15 GB of storage, less spam, and mobile access.",,https://www.google.com/gmail/,,
Facebook,"Create an account or log into Facebook. Connect with friends, family and other people you know. Share photos and videos, send messages and get updates.",,https://www.facebook.com/,,
Yahoo,"News, email and search are just the beginning. Discover more every day. Find your yodel.",,https://in.yahoo.com/,,
Chalkpad,,,https://punjab.chitkara.edu.in/,,
Book My Show,"BookMyShow offers showtimes, movie tickets, reviews, trailers, concert tickets and events near you . Also features promotional offers, coupons and mobile app.",,https://in.bookmyshow.com/,,
Instagram,"Create an account or log in to Instagram - A simple, fun & creative way to capture, edit & share photos, videos & messages with friends & family.",,https://www.instagram.com/?hl=en,,
YouTube,"Enjoy the videos and music you love, upload original content, and share it all",,https://www.youtube.com/?gl=IN,,
Kamboj Multispeciality Hospital,"Plot no-4929, Chd-kharar road, Kharar, Back side KFC,sunny enclave, Chandigarh, Chandigarh - 140301",,"https://www.medifee.com/hospital/12711-kamboj-multispeciality-hospital/
",hospitals,7410037367
Fortis Hospital,"Sector 62, Phase No. 8, Near Puda Bhavan, Chandigarh, Punjab - 160055",,http://www.fortishealthcare.com/,hospitals,1724692222
Mukat Hospital & Heart Institute,"SCO- 47 to 49, Near Passport Office, Chandigarh, Punjab - 160022",,http://mukathospital.com/,hospitals,9814609669
Amar Hospital,"Sector 70, Chandigarh, Punjab - 160062",,http://www.amarhospital.net/,hospitals,1725063943
Chaitanya Hospital,"Site No. 1 & 2, Chandigarh, Punjab - 160047",,http://chaitanyahospital.org/,hospitals,9815860929
Inscol Hospital,"Sector-34-A, Chandigarh,, chandigarh, chandigarh - 160017",,http://www.inscol.com/,hospitals,1725071189
Landmark Hospital,"Site No I-II, Sector 33-C ,Opp Teerace Garden, Chandigarh, 160020",,http://www.landmarkhospital.in/,hospitals,1724027000
Government Medical College & Hospital," 32B, Sector 32, Chandigarh, 160030",,http://gmch.gov.in/,hospitals,1722663301
Eden Hospital,"Plot No-115 , Phase-1, Industrial Area-1, Chandigarh, 160002",,http://www.edenhospital.net/,hospitals,1724123456
Hope Clinic & Maternity Centre Pvt.Ltd ,"1184, B, Sector 21, Chandigarh, 160022",,http://www.hopeclinicsindia.com/,hospitals,1722707935
Grover Eye Laser & ENT Hospital,"140, Sector 35A, Chandigarh, 160022",,http://www.grover.net.in/,hospitals,9216666440
Cosmo Hospital: Children Specialist Doctor Chandigarh,"Sec 62, Phase 8, Sahibzada Ajit Singh Nagar, Punjab 160062",,http://cosmohospital.com/,hospitals,9988895050
Kapoor's Kidney & Urostone Centre Pvt. Ltd.,"Site No.2 , Near Gurudwara, Opp. 45-46, Traffic Lights Sector 46-D, Chandigarh, 160047",,http://kidneyurostonecentre.com/,hospitals,1722634822
Oxford Heart And Multispeciality Hospital,"3314, Near Gurudwara Sahib, Sector 19D, Sector 19, Chandigarh, 160022",,"http://www.nhp.gov.in/hospital/oxford-heart-and-multispeciality-hospital-chandigarh-chand...
",hospitals,1725170517
Neeraj Eye Hospital,"SCO - 226, Ground Floor, Sector 36-D, Near Post Office, Chandigarh, 160036",,http://www.neerajeyehospitalchd.com/,hospitals,1725078320
Homoeopathic Medical College And Hospital ,"M-671, Sukhna Path, Sector 26, Chandigarh, 160019",,http://www.hmcchd26.com/,hospitals,1722725828
Dr. Harvansh Singh Judge Institute of Dental Sciences & Hospital,"UIET, Panjab University, South 160014, Sector 25, Chandigarh, 160036",,http://dentalsciences.puchd.ac.in/,hospitals,1722584925
PGI Emergency,"Sector 12, Chandigarh, 160012",,http://pgimer.edu.in/PGIMER_PORTAL/PGIMERPORTAL/home.jsp,hospitals,1722756565
Cancer Healer Center,"Sector 38C, Sector 38, Chandigarh, 160036",,http://www.cancerhealercenter.com/,hospitals,8427555336
Government Ayurvedic Dispensary,"Sector 37 C, Sector 37, Chandigarh, 160036",,https://in.bisnzz.com � India � Chandigarh,hospitals,1722677010
Apollo Clinic - Chandigarh,"SCO 170-171, Sector, Madhya Marg, 9C, Sector 9, Chandigarh, 160017",,http://www.apolloclinic.com/,hospitals,18605007788
Taj Chandigarh ,"Block No. 9, Sector 17A, Chandigarh, 160017",,https://vivanta.tajhotels.com/en-in/chandigarh-punjab/?utm_source=Google&utm_campaign=Taj-Chandigarh&utm_medium=Local,hotels,1726613000
JW Marriott Hotel Chandigarh,"Plot no: 6, Sector 35B, Dakshin Marg, Chandigarh, 160035",,http://www.marriott.com/hotels/travel/ixcjw-jw-marriott-hotel-chandigarh/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2,hotels,1723955555
Lemon Tree Hotel,"Plot No. 3, MW Industrial Area Phase I, Chandigarh, 160002",,https://www.lemontreehotels.com/lemon-tree-hotel/chandigarh/hotel-chandigarh.aspx,hotels,1724423232
Hotel Rajshree,"Plot No 181/45, Industrial & Business Park, Phase-1, Chandigarh, 160002",,http://www.hotelrajshree.in/,hotels,9803017802
The Lalit Chandigarh,"Rajiv Gandhi IT Park, Near DLF Commercial Complex, Chandigarh, 160101",,http://www.thelalit.com/the-lalit-chandigarh/,hotels,1724447777
Hotel Turquoise Chandigarh,"29/7, Industrial & Business Park Phase 2, Near Tribune Chowk, Chandigarh, 160002",,http://www.turquoisechandigarh.com/,hotels,1727170786
The Fern Residency,"Plot Number 28/8, Industrial & Business Park, Phase II, Chandigarh, 160002",,http://www.fernhotels.com/the-fern-residency-chandigarh.html,hotels,1725043333
Hotel KLG Starlite,"Plot No. 51, Industrial & Business Park, Phase II, Tribune Chowk, Chandigarh, 160002",,http://www.klgstarlite.com/,hotels,1726644444
Mint Hotel,"SCO 7, Sector 27-C, Chandigarh, 160028",,http://www.minthotelchandigarh.com/,hotels,1724511116
Hyatt Regency Chandigarh,"178 Industrial and Business Park, Phase I, Phase-1, Industrial Area Phase I, Phase-1, Industrial Area Phase I, Chandigarh, 160002",,https://chandigarh.regency.hyatt.com/en/hotel/home.html,hotels,1724401234
Hotel Diamond Inn,"Plot No.116-A, Near Chandigarh Railway Station, Dariya, Chandigarh 160001",,http://www.hoteldiamondinn.com/,hotels,1725072700
Hotel Sunbeam,"SCO-1058-1061, Udyog Path, Sector 22C, 22B, Sector 22, Chandigarh, 160022",,http://www.hotelsunbeam.com/,hotels,1724505050
Hotel Citi Heights,"Sco 3023 Sector 22 D, Chandigarh, 160022",,http://www.hotelcitiheights.com,hotels,1724017605
Hotel KC Residency,"S.C.O. 377-80, Sector 35-B, Chandigarh, 160022",,http://www.kchotelsandresorts.com/kcresidency/locatioin.html,hotels,1722615364
The Piccadily Hotel,"Himalaya Marg, Sector 22 - B, Chandigarh, 160022",,http://www.thepiccadily.com/,hotels,1724315431
Red Fox Hotel,"Plot No. 15, Next to Hind Motors Ltd, Industrial Area Phase I,, Industrial Area Phase I, Chandigarh, 160002",,https://www.lemontreehotels.com/red-fox-hotel.aspx,hotels,1726673333
Hotel Surya Palace,"Plot No. 95, Sector 45 A, Burail, Chandigarh, 160036",,http://www.cityplazahotels.com/,hotels,1725000461
Hometel Chandigarh Hotel,"Plot No 147-148 Industrial Area Phase - 1, Chandigarh, 160002",,http://m.sarovarhotels.com/hotels/hometel-chandigarh,hotels,1724299999
Hotel Orange 35,"SCO: 301-302, Sector 35-B, Chandigarh, 160035",,http://www.orangehotel35.com/,hotels,1725003333
Hotel Majestic,"SCF 76, Sector 30C, Chandigarh, 160030",,http://www.hotelthemajestic.com/,hotels,1725018942
Booking.Com,Book hotels online,,https://www.booking.com/,,
ClearTrip,"Get Cheap Air Tickets, Flight booking, Hotels, Packages, Buses and IRCTC Indian Railways booking at Cleartrip.com",,https://www.cleartrip.com/,,
MakeMyTrip,Compare & Book from more than 200000+ Hotels.,,https://www.makemytrip.com/hotels/,,
